TIME(sec.)  d_Thrust  d_Elevator    d_Rudder    d_Aileron
32.0000000000    0.6389934671    -7.1216147960    0.0004535951    0.0001157843    
33.0000000000    0.6390877573    -7.1219355614    0.0004368098    0.0001178547    
34.0000000000    0.6392036101    -7.1222509024    0.0004258733    0.0001199788    
35.0000000000    0.6393360567    -7.1225557006    0.0004245455    0.0001216274    
36.0000000000    0.6394801335    -7.1228438872    0.0004313286    0.0001225434    
37.0000000000    0.6396294676    -7.1231089780    0.0004408422    0.0001228425    
38.0000000000    0.6397774736    -7.1233446600    0.0004470072    0.0001229120    
39.0000000000    0.6399193998    -7.1235453492    0.0004462114    0.0001231839    
40.0000000000    0.6400522633    -7.1237065926    0.0004388505    0.0001515825    
41.0000000000    0.6401731687    -7.1238253029    0.0004275254    0.0001546109    
42.0000000000    0.6402785298    -7.1238999209    0.0004187879    0.0001578219    
43.0000000000    0.6403660546    -7.1239305462    0.0004158344    0.0001608730    
44.0000000000    0.6404357591    -7.1239189417    0.0004186797    0.0001635303    
45.0000000000    0.6404855280    -7.1238683713    0.0004245190    0.0001657777    
46.0000000000    0.6404949200    -7.1237836452    0.0004294414    0.0001677993    
47.0000000000    0.6404856923    -7.1236717380    0.0004305213    0.0001698630    
48.0000000000    0.6404748459    -7.1235405567    0.0004271745    0.0001721745    
49.0000000000    0.6404641149    -7.1233975577    0.0004211707    0.0001747807    
50.0000000000    0.6404529309    -7.1232493790    0.0004154534    0.0001775649    
51.0000000000    0.6404412678    -7.1231017397    0.0004125036    0.0001803257    
52.0000000000    0.6404300864    -7.1229593739    0.0004131327    0.0001828890    
53.0000000000    0.6404198551    -7.1228259601    0.0004162644    0.0001851942    
54.0000000000    0.6404099005    -7.1227041244    0.0004197015    0.0001873111    
55.0000000000    0.6403995215    -7.1225955468    0.0004213719    0.0001893903    
56.0000000000    0.6403889327    -7.1225011023    0.0004203643    0.0001915766    
57.0000000000    0.6403785034    -7.1224209728    0.0004172530    0.0001939372    
58.0000000000    0.6403677767    -7.1223547586    0.0004136310    0.0001964363    
59.0000000000    0.6403560341    -7.1223016343    0.0004111801    0.0001989662    
60.0000000000    0.6403434485    -7.1222605152    0.0004108061    0.0002014100    
61.0000000000    0.6403307327    -7.1222301629    0.0004122692    0.0002037027    
62.0000000000    0.6403179888    -7.1222092468    0.0004144395    0.0002058581    
63.0000000000    0.6403049265    -7.1221964203    0.0004159747    0.0002079526    
64.0000000000    0.6402919225    -7.1221904011    0.0004160255    0.0002100796    
65.0000000000    0.6402798033    -7.1221900025    0.0004146082    0.0002122998    
66.0000000000    0.6402688171    -7.1221941242    0.0004124940    0.0002146146    
67.0000000000    0.6402586729    -7.1222017615    0.0004107280    0.0002169725    
68.0000000000    0.6402494054    -7.1222120345    0.0004100662    0.0002193017    
69.0000000000    0.6402414828    -7.1222241923    0.0004106248    0.0002215486    
70.0000000000    0.6402350556    -7.1222375865    0.0004118960    0.0002237038    
71.0000000000    0.6402297451    -7.1222516566    0.0004130788    0.0002258009    
72.0000000000    0.6402252768    -7.1222659397    0.0004135195    0.0002278951    
73.0000000000    0.6402218557    -7.1222800742    0.0004130257    0.0002300326    
74.0000000000    0.6402196140    -7.1222937753    0.0004119093    0.0002322281    
75.0000000000    0.6402181739    -7.1223068130    0.0004107689    0.0002344615    
76.0000000000    0.6402171145    -7.1223190183    0.0004101511    0.0002366919    
77.0000000000    0.6402165926    -7.1223302910    0.0004102795    0.0002388811    
78.0000000000    0.6402168796    -7.1223405784    0.0004109782    0.0002410128    
79.0000000000    0.6402177126    -7.1223498467    0.0004118083    0.0002430982    
80.0000000000    0.6402186030    -7.1223580830    0.0004123208    0.0002451672    
81.0000000000    0.6402196016    -7.1223653113    0.0004122858    0.0002472513    
82.0000000000    0.6402209950    -7.1223715804    0.0004117829    0.0002493672    
83.0000000000    0.6402226502    -7.1223769409    0.0004111245    0.0002515103    
84.0000000000    0.6402242693    -7.1223814436    0.0004106690    0.0002536594    
85.0000000000    0.6402259139    -7.1223851494    0.0004106340    0.0002557898    
86.0000000000    0.6402278014    -7.1223881218    0.0004110015    0.0002578860    
87.0000000000    0.6402298882    -7.1223904112    0.0004115547    0.0002599487    
88.0000000000    0.6402319186    -7.1223920543    0.0004120115    0.0002619924    
89.0000000000    0.6402337554    -7.1223930861    0.0004121749    0.0002640368    
90.0000000000    0.6402354800    -7.1223935477    0.0004120230    0.0002660958    
91.0000000000    0.6402371037    -7.1223934808    0.0004116991    0.0002681716    
92.0000000000    0.6402384392    -7.1223929278    0.0004114197    0.0002702546    
93.0000000000    0.6402394058    -7.1223919400    0.0004113557    0.0002723300    
94.0000000000    0.6402402204    -7.1223905820    0.0004115508    0.0002743859    
95.0000000000    0.6402410323    -7.1223889185    0.0004119143    0.0002764187    
96.0000000000    0.6402417313    -7.1223870051    0.0004122825    0.0002784346    
97.0000000000    0.6402420934    -7.1223848941    0.0004125107    0.0002804448    
98.0000000000    0.6402421602    -7.1223826459    0.0004125439    0.0002824594    
99.0000000000    0.6402421016    -7.1223803277    0.0004124344    0.0002844827    
